,timestamp,vehicle_speed
0,1351181576.64078,
1,1351181576.64578,0.0
2,1351181576.6507802,0.0
3,1351181576.6557803,0.0
4,1351181576.6607804,0.0
5,1351181576.6657805,0.0
6,1351181576.6707807,0.0
7,1351181576.6757808,0.0
8,1351181576.680781,0.0
9,1351181576.685781,0.0
10,1351181576.690781,0.0
11,1351181576.6957812,0.0
12,1351181576.7007813,0.0
13,1351181576.7057815,0.0
14,1351181576.7107816,0.0
15,1351181576.7157817,0.0
16,1351181576.7207818,0.0
17,1351181576.725782,0.0
18,1351181576.730782,0.0
19,1351181576.7357821,0.0
20,1351181576.7407823,0.0
21,1351181576.7457824,0.0
22,1351181576.7507825,0.0
23,1351181576.7557826,0.0
24,1351181576.7607827,0.0
25,1351181576.7657828,0.0
26,1351181576.770783,0.0
27,1351181576.775783,0.0
28,1351181576.7807832,0.0
29,1351181576.7857833,0.0
30,1351181576.7907834,0.0
31,1351181576.7957835,0.0
32,1351181576.8007836,0.0
33,1351181576.8057837,0.0
34,1351181576.8107839,0.0
35,1351181576.815784,0.0
36,1351181576.820784,0.0
37,1351181576.8257842,0.0
38,1351181576.8307843,0.0
39,1351181576.8357844,0.0
40,1351181576.8407845,0.0
41,1351181576.8457847,0.0
42,1351181576.8507848,0.0
43,1351181576.855785,0.0
44,1351181576.860785,0.0
45,1351181576.8657851,0.0
46,1351181576.8707852,0.0
47,1351181576.8757854,0.0
48,1351181576.8807855,0.0
49,1351181576.8857856,0.0
50,1351181576.8907857,0.0
51,1351181576.8957858,0.0
52,1351181576.900786,0.0
53,1351181576.905786,0.0
54,1351181576.9107862,0.0
55,1351181576.9157863,0.0
56,1351181576.9207864,0.0
57,1351181576.9257865,0.0
58,1351181576.9307866,0.0
59,1351181576.9357867,0.0
60,1351181576.9407868,0.0
61,1351181576.945787,0.0
62,1351181576.950787,0.0
63,1351181576.9557872,0.0
64,1351181576.9607873,0.0
65,1351181576.9657874,0.0
66,1351181576.9707875,0.0
67,1351181576.9757876,0.0
68,1351181576.9807878,0.0
69,1351181576.9857879,0.0
70,1351181576.990788,0.0
71,1351181576.995788,0.0
72,1351181577.0007882,0.0
73,1351181577.0057883,0.0
74,1351181577.0107884,0.0
75,1351181577.0157886,0.0
76,1351181577.0207887,0.0
77,1351181577.0257888,0.0
78,1351181577.030789,0.0
79,1351181577.035789,0.0
80,1351181577.0407891,0.0
81,1351181577.0457892,0.0
82,1351181577.0507894,0.0
83,1351181577.0557895,0.0
84,1351181577.0607896,0.0
85,1351181577.0657897,0.0
86,1351181577.0707898,0.0
87,1351181577.07579,0.0
88,1351181577.08079,0.0
89,1351181577.0857902,0.0
90,1351181577.0907903,0.0
91,1351181577.0957904,0.0
92,1351181577.1007905,0.0
93,1351181577.1057906,0.0
94,1351181577.1107907,0.0
95,1351181577.1157908,0.0
96,1351181577.120791,0.0
97,1351181577.125791,0.0
98,1351181577.1307912,0.0
99,1351181577.1357913,0.0
100,1351181577.1407914,0.0
101,1351181577.1457915,0.0
102,1351181577.1507916,0.0
103,1351181577.1557918,0.0
104,1351181577.1607919,0.0
105,1351181577.165792,0.0
106,1351181577.170792,0.0
107,1351181577.1757922,0.0
108,1351181577.1807923,0.0
109,1351181577.1857924,0.0
110,1351181577.1907926,0.0
111,1351181577.1957927,0.0
112,1351181577.2007928,0.0
113,1351181577.205793,0.0
114,1351181577.210793,0.0
115,1351181577.2157931,0.0
116,1351181577.2207932,0.0
117,1351181577.2257934,0.0
118,1351181577.2307935,0.0
119,1351181577.2357936,0.0
120,1351181577.2407937,0.0
121,1351181577.2457938,0.0
122,1351181577.250794,0.0
123,1351181577.255794,0.0
124,1351181577.2607942,0.0
125,1351181577.2657943,0.0
126,1351181577.2707944,0.0
127,1351181577.2757945,0.0
128,1351181577.2807946,0.0
129,1351181577.2857947,0.0
130,1351181577.2907948,0.0
131,1351181577.295795,0.0
132,1351181577.300795,0.0
133,1351181577.3057952,0.0
134,1351181577.3107953,0.0
135,1351181577.3157954,0.0
136,1351181577.3207955,0.0
